Analyzing sheet 'Deals' in Cafe1.xlsx (16 rows):
Row 0: [null,"Serving","Price (PKR)"]
Row 1: ["Deals"]
Row 2: ["2 Small Pizza + Half Ltr Drink","Deal",860]
Row 3: ["Pizza Burger + Regular Drink","Deal",599]
Row 4: ["2 Medium Pizza + 1.5 Ltr Drink","Deal",1680]
Row 5: ["2 Large Pizza + 1.5 Ltr Drink","Deal",2380]
Row 6: ["1 Zinger + 1 Fries","Deal 1",320]
Row 7: ["1 Tower Zinger + 1 Fries","Deal 2",430]
Row 8: ["1 Zinger Burger + 1 Pc Chicken + 1 Fries","Deal 3",470]
Row 9: ["1 Chicken Burger + 1 Fries","Deal 4",250]
Row 10: ["2 Pcs Chicken + 1 Fries","Deal 5",430]
Row 11: ["1 Platter Shawarma + 1 Fries","Deal 6",380]
Row 12: ["1 Shami + 1 Fries","Deal 7",240]
Row 13: ["1 Mighty Zinger + 1 Fries","Deal 8",480]
Row 14: ["1 Twister Roll + 1 Fries","Deal 9",320]
Row 15: ["1 Shawarma + 1 Fries","Deal 10",230]
